BASE;MFINSTALLA;PERDA;LATI;LONG
 CANAÃ DOS CARAJÁS ;2000829328;19529;-6,52131241;-49,83666636
 CANAÃ DOS CARAJÁS ;2000832335;15457;-6,5389107;-49,83833326
 CANAÃ DOS CARAJÁS ;2000826607;14327;-6,53735661;-49,87159749
 CANAÃ DOS CARAJÁS ;2000811312;13797;-6,52468544;-49,87210201
 CANAÃ DOS CARAJÁS ;2000833365;13550;-6,53073801;-49,84184154
 CANAÃ DOS CARAJÁS ;2000811987;12477;-6,53307432;-49,87211367
 CANAÃ DOS CARAJÁS ;2000828588;12403;-6,50950425;-49,84078723
 CANAÃ DOS CARAJÁS ;2000832384;11908;-6,53115937;-49,85277558
 CANAÃ DOS CARAJÁS ;2000826763;11840;-6,54365423;-49,88027241
 CANAÃ DOS CARAJÁS ;2000833358;10845;-6,531913;-49,8596393
 CANAÃ DOS CARAJÁS ;2000827379;10383;-6,54429663;-49,87800188
 CANAÃ DOS CARAJÁS ;2000810881;9995;-6,54083705;-49,8502169
 CANAÃ DOS CARAJÁS ;2000832383;9617;-6,54488611;-49,8581018
 CANAÃ DOS CARAJÁS ;2000915686;9276;-6,51547148;-49,852403
 CANAÃ DOS CARAJÁS ;2000826431;9199;-6,54514766;-49,84404594
 CANAÃ DOS CARAJÁS ;2000829679;8621;-6,52877241;-49,858196
 CANAÃ DOS CARAJÁS ;2000829838;8320;-6,51166001;-49,84303299
 CANAÃ DOS CARAJÁS ;2000829673;8149;-6,5221087;-49,84448706
 CANAÃ DOS CARAJÁS ;2000811334;7748;-6,53573211;-49,87541482
 CANAÃ DOS CARAJÁS ;2000829654;7624;-6,52869464;-49,87069739
MARABÁ;2000443439;25937;-5,341885001;-49,1286924
MARABÁ;2000441044;24728;-5,384827084;-49,14512001
MARABÁ;2000473953;21521;-5,286498601;-49,07145062
MARABÁ;2000437500;15417;-5,376115227;-49,12064502
MARABÁ;2000443809;15317;-5,34385548;-49,10745469
MARABÁ;2000463385;15024;-5,38510078;-49,129834
MARABÁ;2000439028;13887;-5,365682985;-49,03844453
MARABÁ;2000480460;13223;-5,330365532;-49,0933077
MARABÁ;2000443727;11542;-5,3718471;-49,1169682
MARABÁ;2000475475;11278;-5,332154701;-49,09366309
MARABÁ;2000436329;10172;-5,336193019;-49,10478378
